Generation, ID,x1, y1, z1, power1, velocity1, x2, y2, z2, power2, velocity2, x3, y3, z3, power3, velocity3, fitness(distance from start), parent1, parent2
0.000000000000000000e+00,1.100000000000000000e+01,4.432012869691119850e-01,4.458909186786799150e-01,6.249363507242013949e-01,-3.837459151573798799e+00,5.627906024481623248e+00,8.614182362173137264e-01,4.996194964990874898e-01,4.115510507013729891e-01,-5.347216815207178620e+00,7.780111342170251909e+00,8.083828139593844941e-01,5.368752258848142889e-01,4.825755215319608715e-01,4.498451503645474858e+00,9.452772034710143600e+00,2.472206234890811150e+00,nan,nan
0.000000000000000000e+00,1.200000000000000000e+01,6.558569222803281029e-01,8.095858904317621008e-01,4.066901143419435205e-01,7.525889310619127137e+00,5.815320353293227384e+00,7.564798083625396963e-01,6.165607952117401203e-01,4.365819617744098324e-01,-6.542499630276243927e-01,5.399291749677797014e+00,8.395293882956788023e-01,6.198013079250948021e-01,6.954939425527302266e-01,9.287810137012737499e+00,8.966053399241676658e+00,1.548246487099750102e+00,nan,nan
0.000000000000000000e+00,1.300000000000000000e+01,7.641347042029495995e-01,6.230959035492624754e-01,5.793525276080323527e-01,1.999080945158451250e+00,9.822811210849923924e+00,8.575937098317265583e-01,8.957651655975318317e-01,4.679452681754126542e-01,-6.605713857122528232e+00,8.988602038371073633e+00,7.262304281031419784e-01,5.978525934501706107e-01,4.406785923035775876e-01,-8.019326897988801051e+00,9.693565999495238117e+00,7.954302382822225903e-01,nan,nan
0.000000000000000000e+00,1.400000000000000000e+01,5.613183625046909153e-01,6.376922130606276218e-01,7.387684983460888200e-01,5.166777746433693252e+00,6.981495199591718936e+00,4.780241817701648688e-01,4.329615937414958426e-01,8.761497950546592861e-01,-5.706887510779752759e+00,5.188258611347261962e+00,5.943589654055644322e-01,5.119028941521589493e-01,5.054644833568180395e-01,-5.697731787414264559e+00,5.799181226743176154e+00,7.164902240360014885e-01,nan,nan
0.000000000000000000e+00,1.500000000000000000e+01,8.029048746392737357e-01,4.086808408142897364e-01,7.293095707877084166e-01,3.022945609318439253e+00,5.569069542235541626e+00,4.930178683839608333e-01,7.717030340984756265e-01,6.760481637493944707e-01,-7.671279610201851007e+00,8.160282805341479317e+00,7.530922352355935434e-01,8.272871803021493164e-01,8.331278434291944368e-01,7.245671829657260865e+00,9.915934422838668993e+00,6.645008711382018873e-01,nan,nan
0.000000000000000000e+00,1.600000000000000000e+01,4.643011540290260530e-01,5.258743991227521342e-01,7.229155375364566538e-01,-5.443589886202762074e+00,5.824725867939724466e+00,6.230552166537903780e-01,6.677446131767651449e-01,7.804819962807029166e-01,3.965333963618424828e+00,5.453839398051731457e+00,4.884027092790864666e-01,8.798421062353299904e-01,5.185322821591888953e-01,-8.961942751883000824e-01,7.993143549705520989e+00,6.320505431563132603e-01,nan,nan
0.000000000000000000e+00,1.700000000000000000e+01,6.018147925935017906e-01,5.145191466027918548e-01,8.817656077526596636e-01,-8.136312230959120484e+00,7.335418606233824690e+00,8.566504933702783209e-01,7.839716129768385944e-01,4.797905867246954337e-01,-5.037185003654074400e+00,8.154445293524247518e+00,4.207847257269455854e-01,4.192844746204847928e-01,4.213168972866672690e-01,-4.732925801508591768e+00,7.668442003177137423e+00,6.083249505418286684e-01,nan,nan
0.000000000000000000e+00,1.800000000000000000e+01,6.335342107520980370e-01,8.343522650649977113e-01,4.393414932817426011e-01,8.590531167864817519e+00,5.585973860399943369e+00,6.847893171057788386e-01,6.388605230725333817e-01,4.876558943801034274e-01,-3.141926389142970510e+00,6.211310934129461003e+00,6.966159855345938068e-01,5.978467457671025054e-01,6.440165291977781870e-01,3.395077860829922578e+00,7.416613647543385035e+00,4.866532086474059660e-01,nan,nan
0.000000000000000000e+00,1.900000000000000000e+01,4.421050546421542160e-01,5.934860910239556642e-01,5.701892010072905359e-01,3.364006382778388371e+00,9.428220025819735284e+00,6.007466975161466216e-01,4.090081670172650008e-01,6.201988644668094963e-01,4.948142058676650024e+00,8.446876138089125519e+00,6.707230214242079214e-01,5.768237657612984570e-01,8.202169675588346642e-01,-6.180672966720579531e-01,5.273725957073164494e+00,4.203356032394729991e-01,nan,nan
0.000000000000000000e+00,2.000000000000000000e+01,7.856570621301806057e-01,4.450095155455235374e-01,4.644435854292316979e-01,-5.458274644793982944e+00,9.893759423291964339e+00,4.534480806917417506e-01,7.386883895317792881e-01,7.276471461339886204e-01,1.622756524651989274e+00,8.464573299783662463e+00,8.509128476671072860e-01,7.353751068569099880e-01,6.197351838469633556e-01,5.534099519494917629e+00,9.330912015035789153e+00,3.702514189674887546e-01,nan,nan
